filename_raw,filename_jpeg,camera,lens,iso,wb_setting,scene_type,filename_phocus_tiff,phocus_settings,illuminant,download_url,notes
6197523128.dng,0010197128.jpg,LEICA SL2,VARIO-ELMARIT-SL 1:2.8-4/24-90 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-11-05 15:01:43, jpeg DateTimeOriginal=2019-11-05 15:01:43"
3126800254.dng,8599270974.jpg,LEICA SL2,VARIO-ELMARIT-SL 1:2.8-4/24-90 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-11-05 15:01:46, jpeg DateTimeOriginal=2019-11-05 15:01:46"
7726607478.dng,2018935116.jpg,LEICA SL2,VARIO-ELMARIT-SL 1:2.8-4/24-90 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-11-05 15:57:51, jpeg DateTimeOriginal=2019-11-05 15:57:51"
3228774596.dng,3999328914.jpg,LEICA SL2,VARIO-ELMARIT-SL 1:2.8-4/24-90 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-11-05 15:59:42, jpeg DateTimeOriginal=2019-11-05 15:59:42, 주의: 동률 후보 있음(다른 raw/jpeg도 같은 비용으로 매칭 가능했음 - 전역 최적 배정이 임의로 하나를 골랐으니 수동 확인 권장)"
5585618871.dng,5110499493.jpg,LEICA SL2,VARIO-ELMARIT-SL 1:2.8-4/24-90 ASPH.,125,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-11-05 16:01:05, jpeg DateTimeOriginal=2019-11-05 16:01:05"
8107776807.dng,5901058035.jpg,LEICA SL2,VARIO-ELMARIT-SL 1:2.8-4/24-90 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-11-05 16:02:44, jpeg DateTimeOriginal=2019-11-05 16:02:44"
2180543694.dng,7577222629.jpg,LEICA SL2,VARIO-ELMARIT-SL 1:2.8-4/24-90 ASPH.,250,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-11-05 16:05:56, jpeg DateTimeOriginal=2019-11-05 16:05:56"
4453814445.dng,7200385624.jpg,LEICA SL2,VARIO-ELMARIT-SL 1:2.8-4/24-90 ASPH.,1250,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-11-05 16:09:08, jpeg DateTimeOriginal=2019-11-05 16:09:08"
1914694402.dng,3373705584.jpg,LEICA SL2,VARIO-ELMARIT-SL 1:2.8-4/24-90 ASPH.,2500,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-11-05 16:09:53, jpeg DateTimeOriginal=2019-11-05 16:09:53"
6111417947.dng,2153582941.jpg,LEICA SL2,VARIO-ELMARIT-SL 1:2.8-4/24-90 ASPH.,250,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-11-05 16:11:07, jpeg DateTimeOriginal=2019-11-05 16:11:07"
